Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,TOTAL 2001-2013
Kazakhstan,1785,1174,476,966,1221,1037,1380,1056,3125,1528,2199,2014,616,18577
Kenya,11599,13516,6914,8811,5855,11074,14304,8189,6476,12833,7415,8320,4232,119537
Kosovo,1025,200,238,537,274,455,708,1006,732,427,748,1317,219,7887
Kyrgyzstan,460,144,25,83,30,31,50,41,76,183,74,30,13,1241
Laos,27497,40832,66779,49107,57169,95905,108709,65396,117386,142152,105243,94040,124386,1094601
Latvia,22713,26352,19925,28364,37656,35533,33669,27411,32610,45460,42388,31820,21460,405362
Lebanon,170,28,33,37,129,56,121,213,183,42,61,74,31,1179
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Liberia,14436,24283,8747,2474,3880,12620,15871,11329,27866,9211,11392,17842,17003,176954
Libya,2,3,3,1,2,1,0,0,1,0,1,0,2,15
Liechtenstein,3,0,0,8,5,10,8,8,4,3,2,3,1,55
Lithuania,7060,8945,8027,11629,18039,15739,14341,13660,13176,19782,19887,15950,10728,176962
Luxembourg,47,75,82,257,55,304,454,848,192,800,409,410,270,4203
Macau,1,0,0,0,0,1,1,0,1,0,1,1,0,5
Macedonia,1602,745,819,1941,1199,1876,2918,3367,3649,2026,1992,2407,401,24942
Madagascar,48035,48835,34572,42627,41009,20144,86980,47604,66562,42464,91338,49150,102892,722211
Malawi,211,319,362,255,408,451,418,601,196,251,515,565,211,4763
Malaysia,297956,285057,169453,328976,353374,319839,390089,355985,604007,419066,453305,602127,293037,4872271
Maldives,4,4,2,2,3,3,5,6,5,2,8,1,1,44
Mali,22,9,1,2,2,0,2,2,2,1,3,1,0,47
Malta,1,1,0,2,0,0,1,1,1,0,1,0,0,8
Martinique,172,42,263,146,172,77,140,237,174,67,134,259,63,1946
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,115,105,49,167,88,67,64,111,107,14,146,64,16,1113
Mayotte,21,16,20,2,21,27,15,32,4,19,0,57,141,376
Mexico,115278,118993,109401,119975,143397,131751,152069,134448,207334,123379,140410,125795,142969,1765199
Micronesia,0,0,0,0,0,0,0,0,0,72,0,0,0,72
Moldova,114,172,77,185,81,145,161,93,133,137,137,1143,85,2664
